year,gender,name,rank,freq,prop
1880,F,Anna,1,2604,0.041466949058076
1880,F,Emma,2,2003,0.0318964281733204
1880,F,Elizabeth,3,1939,0.0308772712072233
1880,F,Minnie,4,1746,0.0278038759813367
1880,F,Margaret,5,1578,0.0251285889453318
1880,F,Ida,6,1472,0.0234406102202335
1880,F,Alice,7,1414,0.0225169992197079
1880,F,Bertha,8,1320,0.0210201124257528
1880,F,Sarah,9,1288,0.0205105339427043
1880,F,Annie,10,1258,0.0200328041148463
1880,F,Clara,11,1226,0.0195232256317977
1880,F,Ella,12,1156,0.018408522700129
1880,F,Florence,13,1063,0.0169275602337691
1880,F,Cora,14,1045,0.0166409223370543
1880,F,Martha,15,1040,0.016561300699078
1880,F,Laura,16,1012,0.0161154195264105
1880,F,Nellie,17,995,0.015844705957291
1880,F,Grace,18,982,0.0156376896985525
1880,F,Carrie,19,949,0.0151121868879087
1880,F,Maude,20,858,0.0136630730767393
1880,F,Mabel,21,808,0.012866856696976
1880,F,Bessie,22,796,0.0126757647658328
1880,F,Jennie,23,793,0.012627991783047
1880,F,Gertrude,24,787,0.0125324458174754
1880,F,Julia,25,783,0.0124687485070943
1880,F,Hattie,26,769,0.0122458079207605
1880,F,Edith,27,768,0.0122298835931653
1880,F,Mattie,28,704,0.0112107266270682
1880,F,Rose,29,700,0.0111470293166871
1880,F,Catherine,30,688,0.0109559373855439
1880,F,Lillian,31,672,0.0107011481440196
1880,F,Ada,32,652,0.0103826615921143
1880,F,Lillie,33,647,0.0103030399541379
1880,F,Helen,34,636,0.01012787235059
1880,F,Jessie,35,635,0.0101119480229947
1880,F,Louise,36,635,0.0101119480229947
1880,F,Ethel,37,633,0.0100800993678042
1880,F,Lula,38,621,0.00988900743666099
1880,F,Myrtle,39,615,0.00979346147108938
1880,F,Eva,40,614,0.00977753714349412
1880,F,Frances,41,605,0.00963421819513671
1880,F,Lena,42,603,0.00960236953994618
1880,F,Lucy,43,590,0.0093953532812077
1880,F,Edna,44,588,0.00936350462601717
1880,F,Maggie,45,582,0.00926795866044556
1880,F,Pearl,46,569,0.00906094240170709
1880,F,Daisy,47,564,0.00898132076373075
1880,F,Fannie,48,560,0.00891762345334968
1880,F,Josephine,49,544,0.00866283421182541
1880,F,Dora,50,524,0.00834434765992006
1880,F,Rosa,51,507,0.00807363409080052
1880,F,Katherine,52,502,0.00799401245282418
1880,F,Agnes,53,473,0.00753220695256143
1880,F,Marie,54,471,0.00750035829737089
1880,F,Nora,55,471,0.00750035829737089
1880,F,May,56,462,0.00735703934901349
1880,F,Mamie,57,436,0.00694300683153654
1880,F,Blanche,58,427,0.00679968788317913
1880,F,Stella,59,414,0.00659267162444066
1880,F,Ellen,60,411,0.00654489864165486
1880,F,Nancy,61,411,0.00654489864165486
1880,F,Effie,62,406,0.00646527700367852
1880,F,Sallie,63,404,0.00643342834848798
1880,F,Nettie,64,403,0.00641750402089272
1880,F,Della,65,391,0.00622641208974951
1880,F,Lizzie,66,388,0.00617863910696371
1880,F,Flora,67,365,0.00581237957227256
1880,F,Susie,68,361,0.00574868226189149
1880,F,Maud,69,345,0.00549389302036722
1880,F,Mae,70,344,0.00547796869277195
1880,F,Etta,71,323,0.00514355781327133
1880,F,Harriet,72,319,0.00507986050289027
1880,F,Sadie,73,317,0.00504801184769973
1880,F,Caroline,74,306,0.00487284424415179
1880,F,Katie,75,303,0.00482507126136599
1880,F,Lydia,76,302,0.00480914693377072
1880,F,Elsie,77,301,0.00479322260617545
1880,F,Kate,78,299,0.00476137395098492
1880,F,Susan,79,286,0.00455435769224645
1880,F,Mollie,80,283,0.00450658470946064
1880,F,Alma,81,277,0.00441103874388904
1880,F,Addie,82,274,0.00436326576110324
1880,F,Georgia,83,259,0.00412440084717423
1880,F,Eliza,84,252,0.00401293055400736
1880,F,Lulu,85,249,0.00396515757122155
1880,F,Nannie,86,248,0.00394923324362629
1880,F,Lottie,87,245,0.00390146026084049
1880,F,Amanda,88,241,0.00383776295045942
1880,F,Belle,89,238,0.00378998996767361
1880,F,Charlotte,90,237,0.00377406564007835
1880,F,Rebecca,91,236,0.00375814131248308
1880,F,Ruth,92,234,0.00372629265729255
1880,F,Viola,93,229,0.00364667101931621
1880,F,Olive,94,224,0.00356704938133987
1880,F,Amelia,95,221,0.00351927639855407
1880,F,Hannah,96,221,0.00351927639855407
1880,F,Jane,97,215,0.00342373043298247
1880,F,Virginia,98,213,0.00339188177779193
1880,F,Emily,99,210,0.00334410879500613
1880,F,Matilda,100,210,0.00334410879500613
1880,M,John,1,9655,0.10904060082444
1880,M,William,2,9532,0.107651476650291
1880,M,James,3,5927,0.0669377152860128
1880,M,Charles,4,5348,0.0603986673442882
1880,M,George,5,5126,0.0578914676153368
1880,M,Frank,6,3242,0.0366141509966684
1880,M,Joseph,7,2632,0.0297249985882884
1880,M,Thomas,8,2534,0.0286182167259586
1880,M,Henry,9,2444,0.0276017844034107
1880,M,Robert,10,2415,0.0272742673217008
1880,M,Edward,11,2364,0.0266982890055904
1880,M,Harry,12,2152,0.0243040262013665
1880,M,Walter,13,1755,0.0198204302896832
1880,M,Arthur,14,1599,0.0180586142639336
1880,M,Fred,15,1569,0.017719803489751
1880,M,Albert,16,1493,0.0168614828618217
1880,M,Samuel,17,1024,0.0115647410921001
1880,M,David,18,869,0.0098142187588232
1880,M,Louis,19,828,0.00935117736744029
1880,M,Joe,20,731,0.00825568919758315
